Question,Answer
What is the speed limit in residential areas in India?,"The speed limit in residential areas in India is usually 20-40 km/h, but it can vary by location."
When should you use hazard lights on your vehicle?,Hazard lights should only be used in the case of a vehicle breakdown or to indicate a temporary obstruction on the road.
What is the penalty for not wearing a helmet while riding a two-wheeler?,"The penalty for not wearing a helmet while riding a two-wheeler in India can vary by state, but it often includes fines and points on your driving license."
What is the legal blood alcohol limit for driving in India?,"The legal blood alcohol limit for driving in India is typically 0.03%, but it can vary by state and vehicle type."
What does a solid yellow line on the road indicate?,A solid yellow line on the road indicates that overtaking is prohibited.
What should you do when you approach a pedestrian crossing?,"When approaching a pedestrian crossing, you should slow down and stop to allow pedestrians to cross safely."
What is the fine for using a mobile phone while driving?,"The fine for using a mobile phone while driving in India can vary by state, but it often includes fines and points on your driving license."
What is the penalty for not carrying vehicle insurance in India?,The penalty for not carrying vehicle insurance in India can result in fines and suspension of your vehicle's registration.
What is the maximum permissible blood alcohol limit for a driver below 18 years of age?,The maximum permissible blood alcohol limit for a driver below 18 years of age in India is typically zero; no alcohol is allowed.
What does a red traffic light indicate?,A red traffic light indicates that you must stop your vehicle.
What should you do when an ambulance with its siren on approaches?,"When an ambulance with its siren on approaches, you should pull over to the side of the road and allow it to pass."
What are the rules for using high beams at night?,High beams should be used judiciously and dimmed when approaching another vehicle or when driving in well-lit areas.
What is the speed limit on national highways in India?,The speed limit on national highways in India varies but is often in the range of 80-100 km/h for cars.
What is the fine for not wearing a seatbelt while driving?,The fine for not wearing a seatbelt while driving in India can vary but often includes fines.
What is the legal age for driving a car in India?,The legal age for driving a car in India is typically 18 years.
What is the penalty for not stopping at a railway crossing when the barrier is down?,The penalty for not stopping at a railway crossing when the barrier is down can include fines and legal action.
What is the purpose of a zebra crossing?,"A zebra crossing is meant for pedestrians to cross the road safely, and vehicles should stop and yield to pedestrians."
What does a green traffic light indicate?,A green traffic light indicates that you can proceed if the way is clear.
What should you do if you witness a hit-and-run accident?,"If you witness a hit-and-run accident, you should note down the vehicle's details and inform the authorities."
What is the penalty for overspeeding in a school zone?,The penalty for overspeeding in a school zone in India can vary but often includes fines and points on your driving license.
What are the rules for parking in a no-parking zone?,Parking in a no-parking zone can result in fines and towing of the vehicle.
What is the penalty for driving without a valid license?,Driving without a valid license in India can result in fines and legal action.
What is the maximum speed limit for a commercial vehicle in India?,The maximum speed limit for a commercial vehicle in India varies but is often in the range of 40-60 km/h.
What should you do when a traffic police officer signals you to stop?,"When a traffic police officer signals you to stop, you must pull over and follow their instructions."
What is the fine for not displaying a valid pollution under control (PUC) certificate?,The fine for not displaying a valid pollution under control (PUC) certificate can vary but often includes fines.
What is the penalty for driving on the wrong side of the road?,Driving on the wrong side of the road in India can result in fines and legal action.
What does a white arrow on the road indicate?,A white arrow on the road indicates the direction of traffic flow.
What is the fine for not giving way to an ambulance with its siren on?,Not giving way to an ambulance with its siren on can result in fines and legal action.
What is the speed limit for a school bus in India?,The speed limit for a school bus in India can vary but is often around 40-50 km/h.
What is the penalty for jumping a red traffic light?,Jumping a red traffic light in India can result in fines and points on your driving license.
What is the legal speed limit for cars on urban roads in India?,"The legal speed limit for cars on urban roads in India is typically 50 km/h, but it may vary in some areas."
What is the penalty for driving without a valid license?,"Driving without a valid license can lead to a fine of up to Rs. 5,000 and/or imprisonment for up to 3 months."
"What does the Motor Vehicles Act, 1988 govern?","The Motor Vehicles Act, 1988 governs the registration, licensing, and regulation of motor vehicles in India."
"Explain Section 129 of the Motor Vehicles Act, 1988.","Section 129 of the Motor Vehicles Act, 1988 deals with the duty of the driver in case of accident and injury to a person."
What is the fine for not wearing a helmet while riding a two-wheeler?,"The fine for not wearing a helmet while riding a two-wheeler can vary but is typically around Rs. 1,000."
What is the legal blood alcohol concentration (BAC) limit for drivers in India?,The legal blood alcohol concentration (BAC) limit for drivers in India is 0.03% or 30 mg of alcohol per 100 ml of blood.
What is the penalty for not stopping at a red traffic signal?,"Not stopping at a red traffic signal can lead to a fine of Rs. 1,000 or more depending on the severity of the violation."
"Explain Section 184 of the Motor Vehicles Act, 1988.","Section 184 of the Motor Vehicles Act, 1988 deals with dangerous driving and can result in a fine and/or imprisonment."
What is the maximum speed limit on expressways in India?,"The maximum speed limit on expressways in India is usually 100-120 km/h, but it can vary in different states."
What are the rules regarding using mobile phones while driving?,"Using mobile phones while driving is prohibited, and violators can face fines and penalties."
"Explain Section 177 of the Motor Vehicles Act, 1988.","Section 177 of the Motor Vehicles Act, 1988 deals with general offenses and can result in fines for various violations."
What is the penalty for overloading a commercial vehicle?,The penalty for overloading a commercial vehicle varies based on the extent of overloading and can lead to fines.
What is the penalty for overloading a commercial vehicle?,The penalty for overloading a commercial vehicle varies based on the extent of overloading and can lead to fines.
What is the procedure for obtaining a learner's license in India?,Obtaining a learner's license involves written and practical tests on traffic rules and road signs.
"Explain Section 66 of the Motor Vehicles Act, 1988.","Section 66 of the Motor Vehicles Act, 1988 deals with the suspension and cancellation of licenses."
What is the fine for parking in a no-parking zone?,The fine for parking in a no-parking zone can vary but is typically around Rs. 200 to Rs. 500.
What are the rules for using seat belts while driving?,"Seat belts must be worn by all occupants of a vehicle, and not wearing them can lead to fines."
"Explain Section 119 of the Motor Vehicles Act, 1988.","Section 119 of the Motor Vehicles Act, 1988 deals with the power of the state government to make rules."
What is the penalty for not carrying vehicle insurance?,"Driving without vehicle insurance can result in fines and penalties, and the vehicle may be impounded."
What is the legal age for obtaining a driving license in India?,The legal age for obtaining a driving license in India is typically 18 years for cars and 16 years for two-wheelers.
What are the rules for using high beam headlights?,High beam headlights should be used only on unlit roads and should be dimmed when approaching other vehicles.
"Explain Section 138 of the Motor Vehicles Act, 1988.","Section 138 of the Motor Vehicles Act, 1988 deals with the power to detain vehicles in certain cases."
What is the penalty for reckless driving?,"Reckless driving can lead to fines and imprisonment, and the severity of penalties depends on the situation."
What is the procedure for renewing a driving license?,Renewing a driving license typically involves submitting the required documents and paying the renewal fee.
"Explain Section 177A of the Motor Vehicles Act, 1988.","Section 177A of the Motor Vehicles Act, 1988 deals with the power to compound offenses."
What is the penalty for not giving way to an ambulance?,Not giving way to an ambulance can lead to fines and penalties as it's a serious violation.
What are the rules for overtaking other vehicles?,"Overtaking should be done from the right side, and safety rules must be followed while overtaking."
"Explain Section 112 of the Motor Vehicles Act, 1988.","Section 112 of the Motor Vehicles Act, 1988 deals with the rules for overtaking."
What is the penalty for driving without a pollution certificate?,Driving without a pollution certificate can result in fines and the vehicle may be impounded.
What is the procedure for transferring vehicle ownership?,Transferring vehicle ownership involves submitting the required documents and paying the transfer fee.
"Explain Section 129A of the Motor Vehicles Act, 1988.","Section 129A of the Motor Vehicles Act, 1988 deals with the duty to give information of accidents."
What is the penalty for driving without a valid registration certificate?,Driving without a valid registration certificate can lead to fines and penalties.
What is the legal age for riding a two-wheeler in India?,The legal age for riding a two-wheeler in India is typically 16 years and above.
"Explain Section 115 of the Motor Vehicles Act, 1988.","Section 115 of the Motor Vehicles Act, 1988 deals with the power to restrict the use of vehicles."
What is the penalty for not using indicators while changing lanes?,Not using indicators while changing lanes can lead to fines as it's important for road safety.
What are the rules for using hand signals while driving?,"Hand signals should be used when indicators are not functional, and they are essential for safe driving."
